Old URL,New URL,Status,Suggested Link,Archive Link
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=asc&format=csv&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=asc&format=csv&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=asc&format=csv&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=asc&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=asc&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=asc&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=asc&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=desc&format=csv&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=desc&format=csv&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=desc&format=csv&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=desc&format=csv&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=desc&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=desc&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=desc&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/dcms?direction=desc&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=asc&format=csv&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=asc&format=csv&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=asc&format=csv&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=asc&format=csv&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=asc&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=asc&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=asc&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=asc&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=desc&format=csv&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=desc&format=csv&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=desc&format=csv&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=desc&format=csv&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=desc&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=desc&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=desc&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/decc?direction=desc&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/defra,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/defra?direction=asc&format=csv&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/defra?direction=asc&format=csv&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/defra?direction=asc&format=csv&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/defra?direction=asc&format=csv&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/defra?direction=asc&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/defra?direction=asc&orderBy=category,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/defra?direction=asc&orderBy=nameOfService,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/defra?direction=asc&orderBy=volume,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/defra?direction=desc&format=csv&orderBy=body,,301,,
http://transactionsexplorer.cabinetoffice.gov.uk/department/defra?direction=desc&format=csv&orderBy=category,,301,,
